date_time,standardgas,fastgas,rapidgas,pendingcount,avgtxnsperblock,avgnetworkutilization
2022-03-28 00:24:25,80 nAVAX,80 nAVAX,81.8 nAVAX,1171 Txns,16 Txns,45.62%
2022-03-28 00:24:43,76.6 nAVAX,77 nAVAX,77.5 nAVAX,1171 Txns,19 Txns,45.59%
2022-03-28 00:25:02,77.6 nAVAX,77.9 nAVAX,78.4 nAVAX,1178 Txns,28 Txns,45.65%
2022-03-28 00:25:20,78.4 nAVAX,78.7 nAVAX,81.2 nAVAX,1208 Txns,27 Txns,45.70%
2022-03-28 00:25:38,77.6 nAVAX,77.8 nAVAX,78.3 nAVAX,1247 Txns,22 Txns,45.69%
2022-03-28 00:25:57,80.7 nAVAX,80.9 nAVAX,83.4 nAVAX,1254 Txns,21 Txns,45.70%
2022-03-28 00:26:15,83.2 nAVAX,83.4 nAVAX,85.9 nAVAX,1248 Txns,21 Txns,45.72%
2022-03-28 00:26:33,84 nAVAX,84.2 nAVAX,85.7 nAVAX,1280 Txns,18 Txns,45.72%
2022-03-28 00:26:52,83.2 nAVAX,83.4 nAVAX,84.9 nAVAX,1284 Txns,24 Txns,45.74%
2022-03-28 00:27:11,82.6 nAVAX,82.6 nAVAX,83.1 nAVAX,1291 Txns,18 Txns,45.74%
2022-03-28 00:27:29,85.3 nAVAX,85.4 nAVAX,86.9 nAVAX,1298 Txns,21 Txns,45.76%
2022-03-28 00:27:47,85.8 nAVAX,85.9 nAVAX,87.4 nAVAX,1305 Txns,20 Txns,45.76%
2022-03-28 00:28:05,85.7 nAVAX,85.9 nAVAX,86.4 nAVAX,1304 Txns,16 Txns,45.74%
2022-03-28 00:28:24,84.5 nAVAX,84.9 nAVAX,85.4 nAVAX,1291 Txns,21 Txns,45.67%
2022-03-28 00:28:42,83.9 nAVAX,84.4 nAVAX,84.9 nAVAX,1324 Txns,19 Txns,45.66%
2022-03-28 00:29:00,81.1 nAVAX,81.5 nAVAX,82 nAVAX,1336 Txns,16 Txns,45.61%
2022-03-28 00:29:19,79.5 nAVAX,80 nAVAX,80.5 nAVAX,1291 Txns,25 Txns,45.63%
2022-03-28 00:29:37,77.1 nAVAX,78.1 nAVAX,78.6 nAVAX,1295 Txns,19 Txns,45.60%
2022-03-28 00:29:55,77.1 nAVAX,77.9 nAVAX,78.4 nAVAX,1238 Txns,31 Txns,45.62%
2022-03-28 00:30:13,77.8 nAVAX,78.8 nAVAX,79.3 nAVAX,1242 Txns,23 Txns,45.62%
2022-03-28 00:30:32,75.9 nAVAX,76.9 nAVAX,77.4 nAVAX,1229 Txns,20 Txns,45.59%
2022-03-28 00:30:50,76.2 nAVAX,77.1 nAVAX,78.6 nAVAX,1224 Txns,22 Txns,45.61%
2022-03-28 00:31:09,78.8 nAVAX,79.7 nAVAX,80.2 nAVAX,1245 Txns,21 Txns,45.61%
2022-03-28 00:31:27,83.4 nAVAX,84.1 nAVAX,86.6 nAVAX,1252 Txns,22 Txns,45.64%
2022-03-28 00:31:46,79.5 nAVAX,80.2 nAVAX,80.7 nAVAX,1264 Txns,18 Txns,45.68%
2022-03-28 00:32:04,79.2 nAVAX,79.6 nAVAX,80.1 nAVAX,1263 Txns,19 Txns,45.66%
2022-03-28 00:32:22,78.2 nAVAX,78.8 nAVAX,79.3 nAVAX,1253 Txns,20 Txns,45.66%
2022-03-28 00:32:41,78.3 nAVAX,79.3 nAVAX,81.3 nAVAX,1246 Txns,17 Txns,45.66%
2022-03-28 00:33:03,75.6 nAVAX,76.1 nAVAX,76.6 nAVAX,1243 Txns,21 Txns,45.65%
2022-03-28 00:33:24,76.8 nAVAX,77.5 nAVAX,78 nAVAX,1242 Txns,17 Txns,45.62%
2022-03-28 00:33:42,75.1 nAVAX,75.7 nAVAX,76.2 nAVAX,1244 Txns,18 Txns,45.62%
2022-03-28 00:34:00,76.2 nAVAX,76.8 nAVAX,77.3 nAVAX,1262 Txns,21 Txns,45.62%
2022-03-28 00:34:18,75.5 nAVAX,76.2 nAVAX,77.2 nAVAX,1246 Txns,15 Txns,45.59%
2022-03-28 00:34:37,75.6 nAVAX,75.9 nAVAX,78.4 nAVAX,1257 Txns,17 Txns,45.60%
2022-03-28 00:34:56,75.1 nAVAX,75.8 nAVAX,76.3 nAVAX,1236 Txns,20 Txns,45.59%
2022-03-28 00:35:14,72.8 nAVAX,73.2 nAVAX,73.7 nAVAX,1223 Txns,24 Txns,45.58%
2022-03-28 00:35:33,71.9 nAVAX,72.8 nAVAX,73.3 nAVAX,1202 Txns,24 Txns,45.59%
2022-03-28 00:35:52,73.9 nAVAX,74.8 nAVAX,76.3 nAVAX,1209 Txns,20 Txns,45.61%
2022-03-28 00:36:10,74.1 nAVAX,75 nAVAX,75.5 nAVAX,1216 Txns,26 Txns,45.63%
2022-03-28 00:36:29,73.1 nAVAX,74 nAVAX,76.5 nAVAX,1197 Txns,21 Txns,45.61%
2022-03-28 00:36:48,73.1 nAVAX,73.9 nAVAX,74.4 nAVAX,1201 Txns,21 Txns,45.59%
2022-03-28 00:37:08,71.7 nAVAX,72 nAVAX,72.5 nAVAX,1168 Txns,20 Txns,45.61%
